Loss,Accuracy,a,k,b
1.31093,0.35369,0.258732,3.31909,-0.14
1.31041,0.35369,0.258466,3.31907,-0.14
1.30999,0.35369,0.258249,3.31906,-0.14
1.30964,0.35369,0.258062,3.31904,-0.14
1.30932,0.351145,0.257894,3.31903,-0.14
1.30903,0.351145,0.25774,3.31902,-0.139999
1.30877,0.351145,0.257598,3.31902,-0.139999
1.30852,0.351145,0.257466,3.31901,-0.139999
1.30829,0.35369,0.257341,3.319,-0.139999
1.30807,0.35369,0.257222,3.31899,-0.139999
1.30787,0.35369,0.257109,3.31899,-0.139999
1.30767,0.35369,0.257001,3.31898,-0.139999
1.30749,0.35369,0.256897,3.31897,-0.139999
1.30731,0.35369,0.256797,3.31897,-0.139999
1.30713,0.35369,0.2567,3.31896,-0.139999
1.30697,0.35369,0.256607,3.31895,-0.139999
1.30681,0.35369,0.256516,3.31895,-0.139999
1.30665,0.35369,0.256427,3.31894,-0.139998
1.3065,0.35369,0.256342,3.31894,-0.139998
1.30636,0.35369,0.256258,3.31893,-0.139998
1.30621,0.35369,0.256176,3.31893,-0.139998
1.30608,0.35369,0.256097,3.31892,-0.139998
1.30594,0.35369,0.256019,3.31892,-0.139998
1.30581,0.35369,0.255942,3.31891,-0.139998
1.30568,0.35369,0.255868,3.31891,-0.139998
1.30556,0.35369,0.255794,3.3189,-0.139998
1.30544,0.35369,0.255722,3.3189,-0.139998
1.30532,0.35369,0.255652,3.3189,-0.139998
1.3052,0.35369,0.255582,3.31889,-0.139997
1.30509,0.35369,0.255514,3.31889,-0.139997
1.30498,0.35369,0.255447,3.31888,-0.139997
1.30487,0.35369,0.255381,3.31888,-0.139997
1.30476,0.35369,0.255316,3.31888,-0.139997
1.30465,0.35369,0.255252,3.31887,-0.139997
1.30455,0.35369,0.255189,3.31887,-0.139997
1.30445,0.35369,0.255127,3.31886,-0.139997
1.30435,0.35369,0.255065,3.31886,-0.139997
1.30425,0.35369,0.255005,3.31886,-0.139997
1.30415,0.35369,0.254945,3.31885,-0.139997
1.30405,0.351145,0.254886,3.31885,-0.139996
1.30396,0.351145,0.254828,3.31885,-0.139996
1.30387,0.351145,0.25477,3.31884,-0.139996
1.30378,0.351145,0.254713,3.31884,-0.139996
1.30369,0.351145,0.254657,3.31883,-0.139996
1.3036,0.351145,0.254602,3.31883,-0.139996
1.30351,0.351145,0.254547,3.31883,-0.139996
1.30343,0.351145,0.254492,3.31883,-0.139996
1.30334,0.351145,0.254439,3.31882,-0.139996
1.30326,0.351145,0.254385,3.31882,-0.139996
1.30317,0.351145,0.254333,3.31882,-0.139996
1.30309,0.351145,0.254281,3.31881,-0.139995
1.30301,0.35369,0.254229,3.31881,-0.139995
1.30293,0.35369,0.254178,3.31881,-0.139995
1.30285,0.35369,0.254127,3.3188,-0.139995
1.30278,0.35369,0.254077,3.3188,-0.139995
1.3027,0.35369,0.254027,3.3188,-0.139995
1.30262,0.35369,0.253978,3.31879,-0.139995
1.30255,0.35369,0.253929,3.31879,-0.139995
1.30247,0.35369,0.25388,3.31879,-0.139995
1.3024,0.35369,0.253832,3.31879,-0.139995
1.30233,0.35369,0.253785,3.31878,-0.139995
1.30226,0.35369,0.253738,3.31878,-0.139994
1.30219,0.35369,0.253691,3.31878,-0.139994
1.30212,0.35369,0.253644,3.31878,-0.139994
1.30205,0.35369,0.253598,3.31877,-0.139994
1.30198,0.35369,0.253552,3.31877,-0.139994
1.30191,0.35369,0.253507,3.31877,-0.139994
1.30184,0.35369,0.253462,3.31877,-0.139994
1.30178,0.35369,0.253417,3.31876,-0.139994
1.30171,0.35369,0.253373,3.31876,-0.139994
1.30164,0.35369,0.253329,3.31876,-0.139994
1.30158,0.35369,0.253285,3.31875,-0.139994
1.30152,0.35369,0.253241,3.31875,-0.139994
1.30145,0.35369,0.253198,3.31875,-0.139993
1.30139,0.35369,0.253155,3.31875,-0.139993
1.30133,0.35369,0.253112,3.31874,-0.139993
1.30127,0.351145,0.25307,3.31874,-0.139993
1.3012,0.348601,0.253028,3.31874,-0.139993
1.30115,0.348601,0.252986,3.31874,-0.139993
1.30108,0.348601,0.252945,3.31873,-0.139993
1.30102,0.348601,0.252903,3.31873,-0.139993
1.30097,0.348601,0.252862,3.31873,-0.139993
1.30091,0.348601,0.252822,3.31873,-0.139993
1.30085,0.348601,0.252781,3.31872,-0.139993
1.30079,0.348601,0.252741,3.31872,-0.139992
1.30073,0.348601,0.252701,3.31872,-0.139992
1.30068,0.348601,0.252661,3.31872,-0.139992
1.30062,0.348601,0.252622,3.31871,-0.139992
1.30057,0.348601,0.252582,3.31871,-0.139992
1.30051,0.348601,0.252543,3.31871,-0.139992
1.30046,0.348601,0.252504,3.31871,-0.139992
1.3004,0.348601,0.252465,3.31871,-0.139992
1.30035,0.351145,0.252427,3.3187,-0.139992
1.30029,0.351145,0.252389,3.3187,-0.139992
1.30024,0.351145,0.252351,3.3187,-0.139992
1.30019,0.351145,0.252313,3.3187,-0.139991
1.30014,0.351145,0.252275,3.31869,-0.139991
1.30008,0.351145,0.252238,3.31869,-0.139991
1.30003,0.351145,0.252201,3.31869,-0.139991
1.29998,0.351145,0.252163,3.31869,-0.139991
1.29993,0.351145,0.252127,3.31868,-0.139991
1.29988,0.35369,0.25209,3.31868,-0.139991
1.29983,0.351145,0.252053,3.31868,-0.139991
1.29978,0.351145,0.252017,3.31868,-0.139991
1.29973,0.351145,0.251981,3.31867,-0.139991
1.29968,0.351145,0.251945,3.31867,-0.139991
1.29963,0.351145,0.251909,3.31867,-0.13999
1.29959,0.351145,0.251873,3.31867,-0.13999
1.29954,0.351145,0.251838,3.31866,-0.13999
1.29949,0.351145,0.251803,3.31866,-0.13999
1.29944,0.351145,0.251767,3.31866,-0.13999
1.2994,0.351145,0.251732,3.31866,-0.13999
1.29935,0.351145,0.251698,3.31866,-0.13999
1.2993,0.351145,0.251663,3.31865,-0.13999
1.29926,0.351145,0.251628,3.31865,-0.13999
1.29921,0.351145,0.251594,3.31865,-0.13999
1.29917,0.351145,0.25156,3.31865,-0.13999
1.29912,0.351145,0.251526,3.31864,-0.139989
1.29908,0.351145,0.251492,3.31864,-0.139989
1.29903,0.351145,0.251458,3.31864,-0.139989
1.29899,0.351145,0.251424,3.31864,-0.139989
1.29895,0.351145,0.251391,3.31864,-0.139989
1.2989,0.351145,0.251357,3.31863,-0.139989
1.29886,0.351145,0.251324,3.31863,-0.139989
1.29882,0.351145,0.251291,3.31863,-0.139989
1.29877,0.351145,0.251258,3.31863,-0.139989
1.29873,0.351145,0.251225,3.31863,-0.139989
1.29869,0.351145,0.251193,3.31862,-0.139989
1.29865,0.351145,0.25116,3.31862,-0.139988
1.2986,0.351145,0.251128,3.31862,-0.139988
1.29856,0.351145,0.251095,3.31862,-0.139988
1.29852,0.351145,0.251063,3.31862,-0.139988
1.29848,0.351145,0.251031,3.31862,-0.139988
1.29844,0.351145,0.250999,3.31861,-0.139988
1.2984,0.351145,0.250967,3.31861,-0.139988
1.29836,0.351145,0.250936,3.31861,-0.139988
1.29832,0.351145,0.250904,3.31861,-0.139988
1.29828,0.351145,0.250873,3.31861,-0.139988
1.29824,0.351145,0.250841,3.3186,-0.139988
1.2982,0.351145,0.25081,3.3186,-0.139988
1.29816,0.351145,0.250779,3.3186,-0.139987
1.29812,0.351145,0.250748,3.3186,-0.139987
1.29808,0.351145,0.250717,3.3186,-0.139987
1.29805,0.351145,0.250686,3.31859,-0.139987
1.29801,0.351145,0.250655,3.31859,-0.139987
1.29797,0.351145,0.250625,3.31859,-0.139987
1.29793,0.351145,0.250594,3.31859,-0.139987
1.29789,0.351145,0.250564,3.31859,-0.139987
1.29786,0.351145,0.250534,3.31858,-0.139987
1.29782,0.351145,0.250504,3.31858,-0.139987
1.29778,0.351145,0.250474,3.31858,-0.139987
1.29775,0.351145,0.250444,3.31858,-0.139986
1.29771,0.351145,0.250414,3.31858,-0.139986
1.29767,0.351145,0.250384,3.31858,-0.139986
1.29764,0.351145,0.250354,3.31857,-0.139986
1.2976,0.351145,0.250325,3.31857,-0.139986
1.29757,0.351145,0.250295,3.31857,-0.139986
1.29753,0.351145,0.250266,3.31857,-0.139986
1.2975,0.351145,0.250237,3.31857,-0.139986
1.29746,0.351145,0.250208,3.31856,-0.139986
1.29742,0.351145,0.250178,3.31856,-0.139986
1.29739,0.351145,0.250149,3.31856,-0.139986
1.29736,0.351145,0.250121,3.31856,-0.139985
1.29732,0.351145,0.250092,3.31856,-0.139985
1.29729,0.351145,0.250063,3.31855,-0.139985
1.29725,0.351145,0.250034,3.31855,-0.139985
1.29722,0.351145,0.250006,3.31855,-0.139985
1.29718,0.351145,0.249977,3.31855,-0.139985
1.29715,0.35369,0.249949,3.31855,-0.139985
1.29712,0.35369,0.249921,3.31854,-0.139985
1.29709,0.35369,0.249893,3.31854,-0.139985
1.29705,0.35369,0.249864,3.31854,-0.139985
1.29702,0.35369,0.249836,3.31854,-0.139985
1.29699,0.35369,0.249808,3.31854,-0.139984
1.29695,0.35369,0.249781,3.31854,-0.139984
1.29692,0.35369,0.249753,3.31853,-0.139984
1.29689,0.35369,0.249725,3.31853,-0.139984
1.29686,0.35369,0.249697,3.31853,-0.139984
1.29682,0.35369,0.24967,3.31853,-0.139984
